entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.pool_house,heat_cool,2026-03-11T12:01:53.848Z,69.6,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:04:53.854Z,70.3,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:07:53.847Z,70.5,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:10:53.880Z,70.6,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:13:53.857Z,71.3,cooling,71,68,
climate.pool_house,heat_cool,2026-03-11T12:16:53.824Z,71,cooling,71,68,
climate.pool_house,heat_cool,2026-03-11T12:19:53.805Z,70.5,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:22:53.845Z,70.3,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:25:53.834Z,70.7,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:28:53.855Z,71,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:31:53.875Z,71.3,cooling,71,68,
climate.pool_house,heat_cool,2026-03-11T12:34:53.869Z,70.8,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:37:53.851Z,70.3,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:40:53.866Z,70.4,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:46:54.237Z,70.6,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:49:53.891Z,70.7,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:52:53.829Z,70.7,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T12:55:53.886Z,71.1,cooling,71,68,
climate.pool_house,heat_cool,2026-03-11T13:04:53.916Z,70.4,idle,71,68,
climate.pool_house,heat_cool,2026-03-11T13:07:53.839Z,70.2,idle,70,67,
climate.pool_house,heat_cool,2026-03-11T13:10:53.908Z,70.2,cooling,70,67,
climate.pool_house,heat_cool,2026-03-11T13:13:53.848Z,70.9,cooling,70,67,
climate.pool_house,heat_cool,2026-03-11T13:16:53.886Z,71.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T13:19:53.920Z,71.2,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:22:53.916Z,71.4,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:28:53.920Z,71.9,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:31:53.942Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T13:34:53.876Z,71.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T13:37:53.910Z,71.2,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:40:53.939Z,71,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:43:53.936Z,71.1,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:46:54.324Z,71.5,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:49:53.982Z,71.7,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:52:53.923Z,72,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T13:55:53.888Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T13:58:53.916Z,72,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T14:01:53.894Z,71.4,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T14:04:53.923Z,71.1,idle,72,67,
climate.pool_house,unavailable,2026-03-11T14:09:06.931Z
climate.pool_house,heat_cool,2026-03-11T20:07:00.443Z,72.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:12:11.745Z,72.9,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:16:11.751Z,72.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:18:12.152Z,72.9,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:21:12.019Z,72.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:24:12.020Z,72.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:30:12.633Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:32:33.351Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:35:33.696Z,72.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:44:33.732Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:47:33.687Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:50:33.693Z,72.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:53:33.683Z,72.1,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T20:59:33.680Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:05:33.657Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:14:33.728Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:17:33.711Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:23:33.712Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:26:33.697Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:29:33.753Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:38:33.738Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:50:33.750Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:53:33.679Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:56:33.755Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T21:59:33.734Z,72.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:02:33.681Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:05:33.733Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:14:33.732Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:17:33.742Z,72.9,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T22:20:33.759Z,73.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:23:33.772Z,73.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:29:33.749Z,73.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:35:33.735Z,73.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:38:17.325Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:41:17.705Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:44:17.624Z,72,fan,72,67,
climate.pool_house,heat_cool,2026-03-11T22:47:17.641Z,72.8,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T22:50:17.618Z,72.7,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:53:17.657Z,73.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:56:17.629Z,72.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T22:59:17.638Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:02:17.637Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:05:17.650Z,72.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:11:17.673Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:14:17.645Z,72.7,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T23:17:54.940Z,72.8,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:20:55.229Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:23:55.255Z,72.4,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:26:55.275Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:29:19.673Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:32:20.006Z,72.1,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:35:19.999Z,72.2,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T23:38:20.017Z,72.6,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:41:20.060Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:44:26.936Z,72.1,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:47:27.280Z,73.2,idle,72,67,
climate.pool_house,heat_cool,2026-03-11T23:50:27.275Z,73.1,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:53:27.283Z,72.7,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:56:27.299Z,72.1,cooling,72,67,
climate.pool_house,heat_cool,2026-03-11T23:59:27.236Z,72,fan,72,67,
climate.pool_house,heat_cool,2026-03-12T00:02:27.273Z,72.6,idle,72,67,
climate.pool_house,heat_cool,2026-03-12T00:05:27.259Z,72.7,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:08:27.295Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:11:27.309Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:13:14.234Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:16:14.560Z,72.1,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:19:14.508Z,72.2,idle,72,67,
climate.pool_house,heat_cool,2026-03-12T00:22:14.570Z,72.2,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:25:32.051Z,72.5,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:28:32.339Z,72.3,cooling,72,67,
climate.pool_house,heat_cool,2026-03-12T00:31:13.592Z,72.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:34:13.889Z,72.4,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:37:13.901Z,72.6,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:40:13.937Z,72.8,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:42:12.306Z,73.3,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:45:12.789Z,73.6,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:48:12.659Z,73.7,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:51:12.614Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:54:12.587Z,73.3,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T00:57:12.640Z,73.8,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:00:12.675Z,74,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:09:12.624Z,73.6,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:12:12.671Z,73.4,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:14:52.853Z,73.4,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:18:52.857Z,73.3,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:20:53.170Z,73.1,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:23:53.204Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:26:53.197Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:29:53.199Z,73.1,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:32:53.202Z,73.4,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:35:53.181Z,73.7,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:41:53.227Z,73.6,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:47:53.222Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:49:03.406Z,73.2,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:52:03.706Z,73.4,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T01:55:03.661Z,73.2,cooling,73,66.9,
